"","l2.dist","Model","Rep","uSeed","iterXthin","param.name","standardization","est","posterior_sd","pval","lower_2.5ci","upper_2.5ci","sig","BetweenWithin"
"1","Gaussian","BinAR",1,"13286","2000X5","X.WITH.PHI","unstd",0.006,0.012,0.278,-0.016,0.031,FALSE,"Between"
"2","Gaussian","BinAR",1,"13286","2000X5","X.WITH.LOGV","unstd",0.479,0.078,0,0.351,0.661,TRUE,"Between"
"3","Gaussian","BinAR",1,"13286","2000X5","PHI.WITH.LOGV","unstd",-0.001,0.006,0.439,-0.012,0.011,FALSE,"Between"
"4","Gaussian","BinAR",1,"13286","2000X5","Means.X","unstd",2.206,0.109,0,2,2.415,TRUE,"Between"
"5","Gaussian","BinAR",1,"13286","2000X5","Means.PHI","unstd",0.408,0.01,0,0.388,0.427,TRUE,"Between"
"6","Gaussian","BinAR",1,"13286","2000X5","Means.LOGV","unstd",0.21,0.053,0,0.103,0.315,TRUE,"Between"
"7","Gaussian","BinAR",1,"13286","2000X5","Variances.X","unstd",1.116,0.173,0,0.845,1.525,TRUE,"Between"
"8","Gaussian","BinAR",1,"13286","2000X5","Variances.PHI","unstd",0.002,0.001,0,0.001,0.004,TRUE,"Between"
"9","Gaussian","BinAR",1,"13286","2000X5","Variances.LOGV","unstd",0.255,0.042,0,0.187,0.349,TRUE,"Between"
"10","Gaussian","BinAR",1,"13286","2000X5","PHI|X.ON.X&1","stdyx",0.408,0.009,0,0.389,0.426,TRUE,"Within.Std.Averaged.Over.Clusters"
"11","Gaussian","BinAR",1,"13286","2000X5","LOGV.|.X","stdyx",0.832,0.007,0,0.817,0.846,TRUE,"Within.Std.Averaged.Over.Clusters"
"12","Gaussian","BinAR",1,"13286","2000X5","X.WITH.PHI","stdyx",0.153,0.262,0.278,-0.368,0.614,FALSE,"Between"
"13","Gaussian","BinAR",1,"13286","2000X5","X.WITH.LOGV","stdyx",0.899,0.028,0,0.833,0.941,TRUE,"Between"
"14","Gaussian","BinAR",1,"13286","2000X5","PHI.WITH.LOGV","stdyx",-0.041,0.265,0.439,-0.533,0.477,FALSE,"Between"
"15","Gaussian","BinAR",1,"13286","2000X5","Means.X","stdyx",2.082,0.183,0,1.741,2.45,TRUE,"Between"
"16","Gaussian","BinAR",1,"13286","2000X5","Means.PHI","stdyx",9.881,2.009,0,6.508,13.997,TRUE,"Between"
"17","Gaussian","BinAR",1,"13286","2000X5","Means.LOGV","stdyx",0.412,0.11,0,0.201,0.625,TRUE,"Between"
"18","Gaussian","BinAR",1,"13286","2000X5","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"19","Gaussian","BinAR",1,"13286","2000X5","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"20","Gaussian","BinAR",1,"13286","2000X5","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"21","Gaussian","BinAR",1,"13286","5000X20","X.WITH.PHI","unstd",0.007,0.012,0.279,-0.017,0.031,FALSE,"Between"
"22","Gaussian","BinAR",1,"13286","5000X20","X.WITH.LOGV","unstd",0.482,0.082,0,0.352,0.676,TRUE,"Between"
"23","Gaussian","BinAR",1,"13286","5000X20","PHI.WITH.LOGV","unstd",-0.001,0.006,0.449,-0.013,0.011,FALSE,"Between"
"24","Gaussian","BinAR",1,"13286","5000X20","Means.X","unstd",2.206,0.109,0,1.989,2.424,TRUE,"Between"
"25","Gaussian","BinAR",1,"13286","5000X20","Means.PHI","unstd",0.408,0.01,0,0.388,0.429,TRUE,"Between"
"26","Gaussian","BinAR",1,"13286","5000X20","Means.LOGV","unstd",0.21,0.054,0,0.102,0.316,TRUE,"Between"
"27","Gaussian","BinAR",1,"13286","5000X20","Variances.X","unstd",1.119,0.18,0,0.841,1.541,TRUE,"Between"
"28","Gaussian","BinAR",1,"13286","5000X20","Variances.PHI","unstd",0.002,0.001,0,0.001,0.004,TRUE,"Between"
"29","Gaussian","BinAR",1,"13286","5000X20","Variances.LOGV","unstd",0.255,0.044,0,0.187,0.359,TRUE,"Between"
"30","Gaussian","BinAR",1,"13286","5000X20","PHI|X.ON.X&1","stdyx",0.408,0.009,0,0.39,0.426,TRUE,"Within.Std.Averaged.Over.Clusters"
"31","Gaussian","BinAR",1,"13286","5000X20","LOGV.|.X","stdyx",0.832,0.008,0,0.816,0.846,TRUE,"Within.Std.Averaged.Over.Clusters"
"32","Gaussian","BinAR",1,"13286","5000X20","X.WITH.PHI","stdyx",0.155,0.258,0.279,-0.366,0.629,FALSE,"Between"
"33","Gaussian","BinAR",1,"13286","5000X20","X.WITH.LOGV","stdyx",0.901,0.028,0,0.836,0.944,TRUE,"Between"
"34","Gaussian","BinAR",1,"13286","5000X20","PHI.WITH.LOGV","stdyx",-0.037,0.274,0.449,-0.557,0.498,FALSE,"Between"
"35","Gaussian","BinAR",1,"13286","5000X20","Means.X","stdyx",2.084,0.188,0,1.718,2.463,TRUE,"Between"
"36","Gaussian","BinAR",1,"13286","5000X20","Means.PHI","stdyx",9.687,2.047,0,6.315,14.03,TRUE,"Between"
"37","Gaussian","BinAR",1,"13286","5000X20","Means.LOGV","stdyx",0.417,0.112,0,0.196,0.634,TRUE,"Between"
"38","Gaussian","BinAR",1,"13286","5000X20","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"39","Gaussian","BinAR",1,"13286","5000X20","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"40","Gaussian","BinAR",1,"13286","5000X20","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"41","Chi2","BinAR",1,"13293","2000X5","X.WITH.PHI","unstd",0.012,0.025,0.303,-0.035,0.064,FALSE,"Between"
"42","Chi2","BinAR",1,"13293","2000X5","X.WITH.LOGV","unstd",0.939,0.174,0,0.672,1.336,TRUE,"Between"
"43","Chi2","BinAR",1,"13293","2000X5","PHI.WITH.LOGV","unstd",0.004,0.007,0.273,-0.01,0.02,FALSE,"Between"
"44","Chi2","BinAR",1,"13293","2000X5","Means.X","unstd",2.815,0.214,0,2.406,3.234,TRUE,"Between"
"45","Chi2","BinAR",1,"13293","2000X5","Means.PHI","unstd",0.404,0.01,0,0.384,0.423,TRUE,"Between"
"46","Chi2","BinAR",1,"13293","2000X5","Means.LOGV","unstd",0.169,0.065,0.004,0.048,0.3,TRUE,"Between"
"47","Chi2","BinAR",1,"13293","2000X5","Variances.X","unstd",4.437,0.666,0,3.389,5.976,TRUE,"Between"
"48","Chi2","BinAR",1,"13293","2000X5","Variances.PHI","unstd",0.002,0.001,0,0.001,0.004,TRUE,"Between"
"49","Chi2","BinAR",1,"13293","2000X5","Variances.LOGV","unstd",0.391,0.063,0,0.291,0.539,TRUE,"Between"
"50","Chi2","BinAR",1,"13293","2000X5","PHI|X.ON.X&1","stdyx",0.404,0.009,0,0.385,0.422,TRUE,"Within.Std.Averaged.Over.Clusters"
"51","Chi2","BinAR",1,"13293","2000X5","LOGV.|.X","stdyx",0.835,0.008,0,0.821,0.85,TRUE,"Within.Std.Averaged.Over.Clusters"
"52","Chi2","BinAR",1,"13293","2000X5","X.WITH.PHI","stdyx",0.148,0.265,0.303,-0.381,0.66,FALSE,"Between"
"53","Chi2","BinAR",1,"13293","2000X5","X.WITH.LOGV","stdyx",0.717,0.053,0,0.602,0.808,TRUE,"Between"
"54","Chi2","BinAR",1,"13293","2000X5","PHI.WITH.LOGV","stdyx",0.151,0.267,0.273,-0.378,0.684,FALSE,"Between"
"55","Chi2","BinAR",1,"13293","2000X5","Means.X","stdyx",1.335,0.141,0,1.07,1.622,TRUE,"Between"
"56","Chi2","BinAR",1,"13293","2000X5","Means.PHI","stdyx",9.869,2.104,0,6.239,13.99,TRUE,"Between"
"57","Chi2","BinAR",1,"13293","2000X5","Means.LOGV","stdyx",0.274,0.105,0.004,0.073,0.482,TRUE,"Between"
"58","Chi2","BinAR",1,"13293","2000X5","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"59","Chi2","BinAR",1,"13293","2000X5","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"60","Chi2","BinAR",1,"13293","2000X5","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"61","Chi2","BinAR",1,"13293","5000X20","X.WITH.PHI","unstd",0.012,0.024,0.307,-0.035,0.06,FALSE,"Between"
"62","Chi2","BinAR",1,"13293","5000X20","X.WITH.LOGV","unstd",0.949,0.183,0,0.664,1.379,TRUE,"Between"
"63","Chi2","BinAR",1,"13293","5000X20","PHI.WITH.LOGV","unstd",0.004,0.007,0.284,-0.01,0.019,FALSE,"Between"
"64","Chi2","BinAR",1,"13293","5000X20","Means.X","unstd",2.824,0.214,0,2.406,3.246,TRUE,"Between"
"65","Chi2","BinAR",1,"13293","5000X20","Means.PHI","unstd",0.404,0.01,0,0.384,0.424,TRUE,"Between"
"66","Chi2","BinAR",1,"13293","5000X20","Means.LOGV","unstd",0.174,0.066,0.006,0.041,0.299,TRUE,"Between"
"67","Chi2","BinAR",1,"13293","5000X20","Variances.X","unstd",4.462,0.694,0,3.372,6.082,TRUE,"Between"
"68","Chi2","BinAR",1,"13293","5000X20","Variances.PHI","unstd",0.002,0.001,0,0.001,0.004,TRUE,"Between"
"69","Chi2","BinAR",1,"13293","5000X20","Variances.LOGV","unstd",0.393,0.065,0,0.293,0.544,TRUE,"Between"
"70","Chi2","BinAR",1,"13293","5000X20","PHI|X.ON.X&1","stdyx",0.404,0.009,0,0.386,0.422,TRUE,"Within.Std.Averaged.Over.Clusters"
"71","Chi2","BinAR",1,"13293","5000X20","LOGV.|.X","stdyx",0.835,0.007,0,0.82,0.85,TRUE,"Within.Std.Averaged.Over.Clusters"
"72","Chi2","BinAR",1,"13293","5000X20","X.WITH.PHI","stdyx",0.132,0.258,0.307,-0.39,0.623,FALSE,"Between"
"73","Chi2","BinAR",1,"13293","5000X20","X.WITH.LOGV","stdyx",0.721,0.054,0,0.602,0.812,TRUE,"Between"
"74","Chi2","BinAR",1,"13293","5000X20","PHI.WITH.LOGV","stdyx",0.163,0.267,0.284,-0.391,0.654,FALSE,"Between"
"75","Chi2","BinAR",1,"13293","5000X20","Means.X","stdyx",1.335,0.141,0,1.063,1.615,TRUE,"Between"
"76","Chi2","BinAR",1,"13293","5000X20","Means.PHI","stdyx",9.728,2.087,0,6.149,14.027,TRUE,"Between"
"77","Chi2","BinAR",1,"13293","5000X20","Means.LOGV","stdyx",0.277,0.107,0.006,0.066,0.485,TRUE,"Between"
"78","Chi2","BinAR",1,"13293","5000X20","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"79","Chi2","BinAR",1,"13293","5000X20","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"80","Chi2","BinAR",1,"13293","5000X20","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"81","Gaussian","Chi2AR",1,"13297","2000X5","X.WITH.PHI","unstd",0.033,0.041,0.216,-0.045,0.116,FALSE,"Between"
"82","Gaussian","Chi2AR",1,"13297","2000X5","X.WITH.LOGV","unstd",1.265,0.201,0,0.941,1.751,TRUE,"Between"
"83","Gaussian","Chi2AR",1,"13297","2000X5","PHI.WITH.LOGV","unstd",0.005,0.005,0.162,-0.005,0.015,FALSE,"Between"
"84","Gaussian","Chi2AR",1,"13297","2000X5","Means.X","unstd",10.298,0.343,0,9.624,10.947,TRUE,"Between"
"85","Gaussian","Chi2AR",1,"13297","2000X5","Means.PHI","unstd",0.409,0.011,0,0.385,0.43,TRUE,"Between"
"86","Gaussian","Chi2AR",1,"13297","2000X5","Means.LOGV","unstd",2.43,0.042,0,2.346,2.51,TRUE,"Between"
"87","Gaussian","Chi2AR",1,"13297","2000X5","Variances.X","unstd",11.077,1.71,0,8.369,15.059,TRUE,"Between"
"88","Gaussian","Chi2AR",1,"13297","2000X5","Variances.PHI","unstd",0.004,0.002,0,0.001,0.008,TRUE,"Between"
"89","Gaussian","Chi2AR",1,"13297","2000X5","Variances.LOGV","unstd",0.152,0.026,0,0.11,0.217,TRUE,"Between"
"90","Gaussian","Chi2AR",1,"13297","2000X5","PHI|X.ON.X&1","stdyx",0.409,0.009,0,0.389,0.427,TRUE,"Within.Std.Averaged.Over.Clusters"
"91","Gaussian","Chi2AR",1,"13297","2000X5","LOGV.|.X","stdyx",0.829,0.008,0,0.814,0.845,TRUE,"Within.Std.Averaged.Over.Clusters"
"92","Gaussian","Chi2AR",1,"13297","2000X5","X.WITH.PHI","stdyx",0.158,0.192,0.216,-0.221,0.518,FALSE,"Between"
"93","Gaussian","Chi2AR",1,"13297","2000X5","X.WITH.LOGV","stdyx",0.978,0.014,0,0.942,0.996,TRUE,"Between"
"94","Gaussian","Chi2AR",1,"13297","2000X5","PHI.WITH.LOGV","stdyx",0.2,0.2,0.162,-0.193,0.577,FALSE,"Between"
"95","Gaussian","Chi2AR",1,"13297","2000X5","Means.X","stdyx",3.092,0.253,0,2.616,3.611,TRUE,"Between"
"96","Gaussian","Chi2AR",1,"13297","2000X5","Means.PHI","stdyx",6.503,1.732,0,4.48,11.299,TRUE,"Between"
"97","Gaussian","Chi2AR",1,"13297","2000X5","Means.LOGV","stdyx",6.234,0.53,0,5.246,7.316,TRUE,"Between"
"98","Gaussian","Chi2AR",1,"13297","2000X5","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"99","Gaussian","Chi2AR",1,"13297","2000X5","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"100","Gaussian","Chi2AR",1,"13297","2000X5","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"101","Gaussian","Chi2AR",1,"13297","5000X20","X.WITH.PHI","unstd",0.032,0.043,0.209,-0.047,0.124,FALSE,"Between"
"102","Gaussian","Chi2AR",1,"13297","5000X20","X.WITH.LOGV","unstd",1.274,0.209,0,0.945,1.756,TRUE,"Between"
"103","Gaussian","Chi2AR",1,"13297","5000X20","PHI.WITH.LOGV","unstd",0.005,0.005,0.165,-0.005,0.016,FALSE,"Between"
"104","Gaussian","Chi2AR",1,"13297","5000X20","Means.X","unstd",10.298,0.345,0,9.613,10.978,TRUE,"Between"
"105","Gaussian","Chi2AR",1,"13297","5000X20","Means.PHI","unstd",0.409,0.011,0,0.386,0.432,TRUE,"Between"
"106","Gaussian","Chi2AR",1,"13297","5000X20","Means.LOGV","unstd",2.43,0.043,0,2.344,2.511,TRUE,"Between"
"107","Gaussian","Chi2AR",1,"13297","5000X20","Variances.X","unstd",11.14,1.799,0,8.334,15.361,TRUE,"Between"
"108","Gaussian","Chi2AR",1,"13297","5000X20","Variances.PHI","unstd",0.004,0.002,0,0.001,0.008,TRUE,"Between"
"109","Gaussian","Chi2AR",1,"13297","5000X20","Variances.LOGV","unstd",0.152,0.027,0,0.11,0.215,TRUE,"Between"
"110","Gaussian","Chi2AR",1,"13297","5000X20","PHI|X.ON.X&1","stdyx",0.409,0.009,0,0.39,0.427,TRUE,"Within.Std.Averaged.Over.Clusters"
"111","Gaussian","Chi2AR",1,"13297","5000X20","LOGV.|.X","stdyx",0.829,0.008,0,0.814,0.843,TRUE,"Within.Std.Averaged.Over.Clusters"
"112","Gaussian","Chi2AR",1,"13297","5000X20","X.WITH.PHI","stdyx",0.156,0.192,0.209,-0.226,0.529,FALSE,"Between"
"113","Gaussian","Chi2AR",1,"13297","5000X20","X.WITH.LOGV","stdyx",0.98,0.014,0,0.943,0.997,TRUE,"Between"
"114","Gaussian","Chi2AR",1,"13297","5000X20","PHI.WITH.LOGV","stdyx",0.198,0.2,0.165,-0.201,0.585,FALSE,"Between"
"115","Gaussian","Chi2AR",1,"13297","5000X20","Means.X","stdyx",3.089,0.258,0,2.597,3.599,TRUE,"Between"
"116","Gaussian","Chi2AR",1,"13297","5000X20","Means.PHI","stdyx",6.388,1.645,0,4.415,10.908,TRUE,"Between"
"117","Gaussian","Chi2AR",1,"13297","5000X20","Means.LOGV","stdyx",6.219,0.544,0,5.219,7.328,TRUE,"Between"
"118","Gaussian","Chi2AR",1,"13297","5000X20","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"119","Gaussian","Chi2AR",1,"13297","5000X20","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"120","Gaussian","Chi2AR",1,"13297","5000X20","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"121","Chi2","Chi2AR",1,"13304","2000X5","X.WITH.PHI","unstd",0.091,0.038,0.002,0.027,0.176,TRUE,"Between"
"122","Chi2","Chi2AR",1,"13304","2000X5","X.WITH.LOGV","unstd",2.402,0.391,0,1.765,3.33,TRUE,"Between"
"123","Chi2","Chi2AR",1,"13304","2000X5","PHI.WITH.LOGV","unstd",0.021,0.01,0.009,0.003,0.043,TRUE,"Between"
"124","Chi2","Chi2AR",1,"13304","2000X5","Means.X","unstd",5.025,0.32,0,4.391,5.629,TRUE,"Between"
"125","Chi2","Chi2AR",1,"13304","2000X5","Means.PHI","unstd",0.395,0.01,0,0.376,0.416,TRUE,"Between"
"126","Chi2","Chi2AR",1,"13304","2000X5","Means.LOGV","unstd",1.548,0.087,0,1.368,1.712,TRUE,"Between"
"127","Chi2","Chi2AR",1,"13304","2000X5","Variances.X","unstd",10.185,1.608,0,7.654,13.981,TRUE,"Between"
"128","Chi2","Chi2AR",1,"13304","2000X5","Variances.PHI","unstd",0.002,0.001,0,0.001,0.005,TRUE,"Between"
"129","Chi2","Chi2AR",1,"13304","2000X5","Variances.LOGV","unstd",0.732,0.113,0,0.546,0.996,TRUE,"Between"
"130","Chi2","Chi2AR",1,"13304","2000X5","PHI|X.ON.X&1","stdyx",0.395,0.009,0,0.378,0.414,TRUE,"Within.Std.Averaged.Over.Clusters"
"131","Chi2","Chi2AR",1,"13304","2000X5","LOGV.|.X","stdyx",0.842,0.007,0,0.827,0.855,TRUE,"Within.Std.Averaged.Over.Clusters"
"132","Chi2","Chi2AR",1,"13304","2000X5","X.WITH.PHI","stdyx",0.648,0.191,0.002,0.203,0.95,TRUE,"Between"
"133","Chi2","Chi2AR",1,"13304","2000X5","X.WITH.LOGV","stdyx",0.885,0.026,0,0.828,0.927,TRUE,"Between"
"134","Chi2","Chi2AR",1,"13304","2000X5","PHI.WITH.LOGV","stdyx",0.563,0.205,0.009,0.07,0.88,TRUE,"Between"
"135","Chi2","Chi2AR",1,"13304","2000X5","Means.X","stdyx",1.576,0.154,0,1.27,1.888,TRUE,"Between"
"136","Chi2","Chi2AR",1,"13304","2000X5","Means.PHI","stdyx",8.865,1.9,0,5.853,12.871,TRUE,"Between"
"137","Chi2","Chi2AR",1,"13304","2000X5","Means.LOGV","stdyx",1.809,0.17,0,1.479,2.15,TRUE,"Between"
"138","Chi2","Chi2AR",1,"13304","2000X5","Variances.X","stdyx",1,0,0,1,1,FALSE,"Between"
"139","Chi2","Chi2AR",1,"13304","2000X5","Variances.PHI","stdyx",1,0,0,1,1,FALSE,"Between"
"140","Chi2","Chi2AR",1,"13304","2000X5","Variances.LOGV","stdyx",1,0,0,1,1,FALSE,"Between"
"141","Chi2","Chi2AR",1,"13304","5000X20","X.WITH.PHI","unstd",0.092,0.038,0.005,0.024,0.173,TRUE,"Between"
"142","Chi2","Chi2AR",1,"13304","5000X20","X.WITH.LOGV","unstd",2.416,0.408,0,1.775,3.365,TRUE,"Between"
"143","Chi2","Chi2AR",1,"13304","5000X20","PHI.WITH.LOGV","unstd",0.022,0.011,0.015,0.002,0.044,TRUE,"Between"
"144","Chi2","Chi2AR",1,"13304","5000X20","Means.X","unstd",5.026,0.327,0,4.371,5.654,TRUE,"Between"
"145","Chi2","Chi2AR",1,"13304","5000X20","Means.PHI","unstd",0.396,0.011,0,0.375,0.417,TRUE,"Between"
"146","Chi2","Chi2AR",1,"13304","5000X20","Means.LOGV","unstd",1.549,0.088,0,1.375,1.715,TRUE,"Between"
"147","Chi2","Chi2AR",1,"13304","5000X20","Variances.X","unstd",10.188,1.644,0,7.649,14.073,TRUE,"Between"
"148","Chi2","Chi2AR",1,"13304","5000X20","Variances.PHI","unstd",0.002,0.001,0,0.001,0.005,TRUE,"Between"
"149","Chi2","Chi2AR",1,"13304","5000X20","Variances.LOGV","unstd",0.733,0.118,0,0.549,1.007,TRUE,"Between"
"150","Chi2","Chi2AR",1,"13304","5000X20","PHI|X.ON.X&1","stdyx",0.396,0.009,0,0.378,0.415,TRUE,"Within.Std.Averaged.Over.Clusters"
"151","Chi2","Chi2AR",1,"13304","5000X20","LOGV.|.X","stdyx",0.841,0.007,0,0.826,0.855,TRUE,"Within.Std.Averaged.Over.Clusters"
"152","Chi2","Chi2AR",1,"13304","5000X20","X.WITH.PHI","stdyx",0.642,0.197,0.005,0.188,0.936,TRUE,"Between"
"153","Chi2","Chi2AR",1,"13304","5000X20","X.WITH.LOGV","stdyx",0.886,0.026,0,0.825,0.929,TRUE,"Between"
"154","Chi2","Chi2AR",1,"13304","5000X20","PHI.WITH.LOGV","stdyx",0.569,0.216,0.015,0.065,0.889,TRUE,"Between"
